origin_date,target_date,horizon,origin_close,pred_close,actual_close,confidence,abs_error,ape_pct,dir_match,direction,regime,jump_regime_code,jump_signal,branch_used,branch_name
2026-04-08,2026-04-13,3,1062.0,1047.38,1043.4,49.6,3.98,0.381445,True,跌,high,0.0,0.501,True,trend_up
2026-04-08,2026-04-14,4,1062.0,1044.22,1052.82,43.0,8.6,0.816854,True,跌,high,0.0,0.501,True,trend_up
2026-04-08,2026-04-15,5,1062.0,1039.63,1058.24,41.4,18.61,1.75858,True,跌,high,0.0,0.501,True,trend_up
2026-04-09,2026-04-10,1,1041.32,1050.86,1048.36,59.5,2.5,0.238468,True,涨,high,0.0,0.296,True,trend_down
2026-04-09,2026-04-13,2,1041.32,1052.5,1043.4,71.7,9.1,0.872149,True,涨,high,0.0,0.296,True,trend_down
2026-04-09,2026-04-14,3,1041.32,1056.94,1052.82,63.0,4.12,0.39133,True,涨,high,0.0,0.296,True,trend_down
2026-04-09,2026-04-15,4,1041.32,1058.56,1058.24,51.1,0.32,0.030239,True,涨,high,0.0,0.296,True,trend_down
2026-04-09,2026-04-16,5,1041.32,1046.7,1061.5,38.9,14.8,1.394253,True,涨,high,0.0,0.296,True,trend_down
2026-04-10,2026-04-13,1,1048.36,1047.83,1043.4,47.9,4.43,0.424574,True,跌,high,0.0,0.315,True,trend_up
2026-04-10,2026-04-14,2,1048.36,1045.07,1052.82,50.8,7.75,0.736118,False,跌,high,0.0,0.315,True,trend_up
2026-04-10,2026-04-15,3,1048.36,1050.49,1058.24,26.5,7.75,0.732348,True,涨,high,0.0,0.315,True,trend_up
2026-04-10,2026-04-16,4,1048.36,1045.3,1061.5,54.3,16.2,1.526142,False,跌,high,0.0,0.315,True,trend_up
2026-04-10,2026-04-17,5,1048.36,1047.01,1054.02,21.1,7.01,0.665073,False,跌,high,0.0,0.315,True,trend_up
2026-04-13,2026-04-14,1,1043.4,1045.69,1052.82,62.1,7.13,0.677229,True,涨,high,0.0,0.32,True,trend_down
2026-04-13,2026-04-15,2,1043.4,1049.07,1058.24,47.5,9.17,0.866533,True,涨,high,0.0,0.32,True,trend_down
2026-04-13,2026-04-16,3,1043.4,1057.38,1061.5,58.2,4.12,0.38813,True,涨,high,0.0,0.32,True,trend_down
